Bank,Account,Receiving Currency,Payment Currency
36709,80DB857B0,,Brazil Real
36806,80EBC7140,Euro,
36806,80EBF87A0,Euro,
36806,811653D70,Euro,
36806,812643BC0,,Euro
36806,812868200,Euro,
36806,812BF2BD0,Euro,
36806,813199820,Euro,
36806,8144D57C0,Euro,
36868,80D847E80,,Brazil Real
36868,80D854B40,Brazil Real,
36868,80D871750,,Brazil Real
36868,80D877FE0,Brazil Real,
36868,80D889B30,Brazil Real,
36868,80D8CD7C0,Brazil Real,
36868,80D8DB650,Brazil Real,
36868,80D8E3D50,,Brazil Real
36868,80D8E8440,Brazil Real,
36868,80D8FCFC0,Brazil Real,
36868,80D8FD3A0,Brazil Real,Brazil Real
36868,80D9134A0,Brazil Real,
36868,80D9CDAB0,Brazil Real,
36868,80D9D3A60,,Brazil Real
36868,80DA0D770,Brazil Real,
36868,80DAF57A0,Brazil Real,
36868,80DAF6060,Brazil Real,
36868,80DB02640,Brazil Real,
36868,80DB029B0,Brazil Real,
36868,80DB07CA0,Brazil Real,
36868,80DB524E0,Brazil Real,
36868,80DB64130,Brazil Real,
36868,80DB80230,,Brazil Real
36868,8149659D0,Brazil Real,Brazil Real
36932,80DC60800,US Dollar,
36932,80E0DC700,US Dollar,US Dollar
36932,80E3D11A0,US Dollar,
36932,80EC30C70,US Dollar,
36932,80EC3AA80,US Dollar,
36932,80ED22300,US Dollar,US Dollar
36932,80EE77880,US Dollar,
36932,80F1AF780,,US Dollar
36932,80F23C5A0,,US Dollar
36932,80F2B4C00,US Dollar,
36932,80F6FE710,,US Dollar
36932,80F6FF6D0,US Dollar,
36932,80F96D370,US Dollar,
36932,80FB55190,,US Dollar
36932,80FE34810,US Dollar,
36932,81023AAD0,,US Dollar
36932,810B49140,US Dollar,
36932,810DDD570,US Dollar,
36932,810DE35A0,US Dollar,US Dollar
36932,8110B7D50,US Dollar,
36932,81170BF60,US Dollar,
36932,811BDBB00,US Dollar,
36932,811EB1D60,,US Dollar
36932,811EFAC20,US Dollar,
36932,812696440,,US Dollar
36932,8127C0FA0,US Dollar,
36932,812B6FE60,US Dollar,
36932,8136728B0,,US Dollar
36932,813968830,US Dollar,
36932,814829840,,US Dollar
36960,80D8F9AD0,Brazil Real,
36960,80D989220,Brazil Real,
36960,80D989270,Brazil Real,
36960,80DA03910,,Brazil Real
36960,80DA06090,Brazil Real,
36960,80DA0C790,,Brazil Real
36960,80DAF2420,,Brazil Real
