Timestamp,FromAccount,ToAccount,Amount Received,Receiving Currency,Amount Paid,Payment Currency,suspected_money_laundering_involvement
10-09-2022 4.24,80D6BCD10,80D6C1A60,26406.14,Yuan,26406.14,Yuan,
10-09-2022 4.12,80D6BCE00,80D6C1A60,29943.97,Yuan,29943.97,Yuan,
10-09-2022 4.03,80D6C4820,80D6C1A60,7849.59,Yuan,7849.59,Yuan,
10-09-2022 4.16,80D6C4B90,80D6C1A60,28480.57,Yuan,28480.57,Yuan,
10-09-2022 4.18,80D6C4270,80D6C1A60,4882.01,Yuan,4882.01,Yuan,
10-09-2022 4.12,80D6C29B0,80D6C1A60,9800.24,Yuan,9800.24,Yuan,
10-09-2022 4.15,80D6C2960,80D6C1A60,3841.4,Yuan,3841.4,Yuan,
10-09-2022 4.09,80D6C84D0,80D6C1A60,15930.54,Yuan,15930.54,Yuan,
10-09-2022 4.04,80D6C80E0,80D6C1A60,14678.53,Yuan,14678.53,Yuan,
10-09-2022 4.20,802168840,80D9A0120,242.46,Yuan,242.46,Yuan,
10-09-2022 4.17,802168840,80D9A0120,395.01,Yuan,395.01,Yuan,
10-09-2022 4.18,80AA1C190,80DB42940,58335.52,Yuan,58335.52,Yuan,
10-09-2022 4.27,80AA1C190,80DB42940,9592.04,Yuan,9592.04,Yuan,
10-09-2022 4.03,80AA1C190,80DB42940,11866.12,Yuan,11866.12,Yuan,
10-09-2022 4.13,1004286F0,80E717870,1576972.22,Yuan,1576972.22,Yuan,
10-09-2022 4.16,1004286F0,80E717870,15661.9,Yuan,15661.9,Yuan,
10-09-2022 4.23,1004286F0,80E717870,4762.34,Yuan,4762.34,Yuan,
10-09-2022 4.16,80380C650,80E6E3D90,64193.25,Yuan,64193.25,Yuan,
10-09-2022 4.24,80380C650,80E6E3D90,10949.61,Yuan,10949.61,Yuan,
10-09-2022 4.17,8035BA070,80EFD3850,143141.28,Yuan,143141.28,Yuan,
10-09-2022 4.17,80801AD20,80EFFC330,9906.06,Yuan,9906.06,Yuan,
10-09-2022 4.03,80801AD20,80EFFC330,1403.1,Yuan,1403.1,Yuan,
10-09-2022 4.10,80801AD20,80EFFC330,1235.09,Yuan,1235.09,Yuan,
10-09-2022 4.20,8036AA7C0,80F9AE420,61.0,Yuan,61.0,Yuan,
10-09-2022 4.29,8036AA7C0,80F9AE420,201.57,Yuan,201.57,Yuan,
10-09-2022 4.10,80B15E910,80F43B100,1481.34,Yuan,1481.34,Yuan,
10-09-2022 4.09,80B10B830,810656D50,32395.81,Yuan,32395.81,Yuan,
10-09-2022 4.22,80B10B830,810656D50,8709.78,Yuan,8709.78,Yuan,
10-09-2022 4.27,80F5F4AC0,81072D270,1898377.93,Yuan,1898377.93,Yuan,
10-09-2022 4.07,80F5F4AC0,81072D270,181836.73,Yuan,181836.73,Yuan,
10-09-2022 4.05,80F5F4AC0,81072D270,2324800.27,Yuan,2324800.27,Yuan,
10-09-2022 4.02,808F68240,810731BB0,25986.99,Yuan,25986.99,Yuan,
10-09-2022 4.07,808F68241,810731BB1,0.016543,Bitcoin,0.016543,Bitcoin,
10-09-2022 4.28,808F68240,810731BB0,7263.21,Yuan,7263.21,Yuan,
10-09-2022 4.02,8048015F0,811270990,1145.81,Yuan,1145.81,Yuan,
10-09-2022 4.13,8048015F0,811270990,512.28,Yuan,512.28,Yuan,
10-09-2022 4.26,8047CC1A0,8114B2F30,375.74,Yuan,375.74,Yuan,
10-09-2022 4.02,8047CC1A0,8114B2F30,230.06,Yuan,230.06,Yuan,
10-09-2022 4.08,8047CC1A0,8114B2F30,203.95,Yuan,203.95,Yuan,
10-09-2022 4.27,802F82A50,8114C1080,503635.92,Yuan,503635.92,Yuan,
10-09-2022 4.28,1004286F0,811B491D0,1723.51,Yuan,1723.51,Yuan,
10-09-2022 4.08,805F1BD90,811DB47F0,562.05,Yuan,562.05,Yuan,
10-09-2022 4.27,80D2ACC90,80D2ACC90,7088.07,Yuan,1058.3,US Dollar,
10-09-2022 4.27,80D2ACC90,812422420,7088.07,Yuan,7088.07,Yuan,
10-09-2022 4.15,80EF6FE00,812DF3CC0,467.96,Yuan,467.96,Yuan,
10-09-2022 4.21,80EF6FE00,812DF3CC0,1475.82,Yuan,1475.82,Yuan,
10-09-2022 4.28,80B1D2410,8136F2300,356.52,Yuan,356.52,Yuan,
10-09-2022 4.13,80B1D2410,8136F2300,2165.66,Yuan,2165.66,Yuan,
10-09-2022 4.10,80361F210,8137C5550,11598.37,Yuan,11598.37,Yuan,
10-09-2022 4.04,80361F210,8137C5550,17734.74,Yuan,17734.74,Yuan,
10-09-2022 4.02,807657360,813B7E9D0,135490.33,Yuan,135490.33,Yuan,
10-09-2022 4.09,807657360,813B7E9D0,61617.11,Yuan,61617.11,Yuan,
10-09-2022 4.23,807657360,813B7E9D0,399651.67,Yuan,399651.67,Yuan,
10-09-2022 4.10,804F3A620,813D38050,3973.3,Yuan,3973.3,Yuan,
10-09-2022 4.24,80BBAE0B0,813E8FB00,8473.05,Yuan,8473.05,Yuan,
10-09-2022 4.27,80B130E90,81410C1A0,5729.58,Yuan,5729.58,Yuan,
10-09-2022 4.19,80B130E90,81410C1A0,2299.81,Yuan,2299.81,Yuan,
10-09-2022 4.02,80B130E90,81410C1A0,959.61,Yuan,959.61,Yuan,
10-09-2022 4.11,80B130E90,81410C1A0,291.91,Yuan,291.91,Yuan,
10-09-2022 4.12,800077C70,80369AD60,7500.46,Yen,7500.46,Yen,
10-09-2022 4.26,800077C70,80369AD60,32916.01,Yen,32916.01,Yen,
10-09-2022 4.13,800077FA0,803862770,245826.97,Yen,245826.97,Yen,
10-09-2022 4.14,800077FA0,803862770,191555.44,Yen,191555.44,Yen,
10-09-2022 4.05,803850620,80387BDD0,31242.85,Yen,31242.85,Yen,
10-09-2022 4.21,803850620,80387BDD0,6550.71,Yen,6550.71,Yen,
10-09-2022 4.09,8039B92F0,8039C80C0,38745.89,Yen,38745.89,Yen,
10-09-2022 4.01,8039B92F0,8039C80C0,25195.33,Yen,25195.33,Yen,
10-09-2022 4.14,803697550,8039E31B0,187682.57,Yen,187682.57,Yen,
10-09-2022 4.25,803697550,8039E31B0,346752.83,Yen,346752.83,Yen,
10-09-2022 4.19,803870460,8039F0160,108325.62,Yen,108325.62,Yen,
10-09-2022 4.13,803870460,8039F0160,110982.54,Yen,110982.54,Yen,
10-09-2022 4.11,80390AA00,8039F1600,25160510.98,Yen,25160510.98,Yen,
10-09-2022 4.24,80390AA00,8039F1600,22864440.35,Yen,22864440.35,Yen,
10-09-2022 4.02,80390AA00,8039F1600,710019.16,Yen,710019.16,Yen,
10-09-2022 4.28,80390AA00,8039F1600,1594612.04,Yen,1594612.04,Yen,
10-09-2022 4.18,80369B180,8039F1D60,4354.89,Yen,4354.89,Yen,
10-09-2022 4.27,80369B180,8039F1D60,32255.89,Yen,32255.89,Yen,
10-09-2022 4.19,80383E760,8039FB590,15217.26,Yen,15217.26,Yen,
10-09-2022 4.13,80383E760,8039FB590,11915.88,Yen,11915.88,Yen,
10-09-2022 4.25,80383E760,8039FB590,683.18,Yen,683.18,Yen,
10-09-2022 4.23,100428738,803A43D10,15787.11,Yen,15787.11,Yen,
10-09-2022 4.06,100428738,803A43D10,19645.22,Yen,19645.22,Yen,
10-09-2022 4.10,803A207A0,803AB9120,11606.8,Yen,11606.8,Yen,
10-09-2022 4.21,803A207A0,803AB9120,2419.68,Yen,2419.68,Yen,
10-09-2022 4.00,803A207A0,803AB9120,314.65,Yen,314.65,Yen,
10-09-2022 4.07,803AFD1E0,803AFD230,402361.85,Yen,402361.85,Yen,
10-09-2022 4.07,803843200,803B1E660,537928.76,Yen,537928.76,Yen,
10-09-2022 4.17,803843200,803B1E660,744875.86,Yen,744875.86,Yen,
10-09-2022 4.27,100428738,803B58380,26486.17,Yen,26486.17,Yen,
10-09-2022 4.28,100428738,803B6F020,35526865.15,Yen,35526865.15,Yen,
10-09-2022 4.27,100428738,803B6F020,5062556.97,Yen,5062556.97,Yen,
10-09-2022 4.00,803B8B020,803C369E0,5919.73,Yen,5919.73,Yen,
10-09-2022 4.02,803B8B020,803C369E0,1041.27,Yen,1041.27,Yen,
10-09-2022 4.11,803B8B020,803C369E0,390.86,Yen,390.86,Yen,
10-09-2022 4.24,803B8B020,803C369E0,356.49,Yen,356.49,Yen,
10-09-2022 4.18,80368F690,803CD0DD0,12039.99,Yen,12039.99,Yen,
10-09-2022 4.04,80368F690,803CD0DD0,12000.44,Yen,12000.44,Yen,
10-09-2022 4.18,803AF3920,803D9C750,34291.66,Yen,34291.66,Yen,
10-09-2022 4.14,803AF3920,803D9C750,17324.74,Yen,17324.74,Yen,
10-09-2022 4.17,803DA4900,803DC33A0,308785.85,Yen,308785.85,Yen,
10-09-2022 4.26,80007A1D0,803E55490,4906.34,Yen,4906.34,Yen,
10-09-2022 4.14,80007A1D0,803E55490,11268.89,Yen,11268.89,Yen,
10-09-2022 4.28,8039FB590,803E75DB0,33580.45,Yen,33580.45,Yen,
10-09-2022 4.00,8039FB590,803E75DB0,15199.61,Yen,15199.61,Yen,
10-09-2022 4.21,803A50F20,803EB7950,62416.36,Yen,62416.36,Yen,
10-09-2022 4.06,803A50F20,803EB7950,110292.5,Yen,110292.5,Yen,
10-09-2022 4.26,803A50F20,803EB7950,59097.32,Yen,59097.32,Yen,
10-09-2022 4.27,803A89520,803ECC8F0,8159.98,Yen,8159.98,Yen,
10-09-2022 4.09,803A89520,803ECC8F0,27928.08,Yen,27928.08,Yen,
10-09-2022 4.02,803EFA9D0,803EFDB50,319618.47,Yen,319618.47,Yen,
10-09-2022 4.06,803EFA9D0,803EFDB50,493161.22,Yen,493161.22,Yen,
10-09-2022 4.07,803A87500,803F23CA0,24771.45,Yen,24771.45,Yen,
10-09-2022 4.22,803A87500,803F23CA0,15665.57,Yen,15665.57,Yen,
10-09-2022 4.18,803E0D730,803F946B0,225878.18,Yen,225878.18,Yen,
10-09-2022 4.07,803E0D730,803F946B0,466416.08,Yen,466416.08,Yen,
10-09-2022 4.09,803AAB170,804034920,919915.45,Yen,919915.45,Yen,
10-09-2022 4.23,803AAB170,804034920,363159.07,Yen,363159.07,Yen,
10-09-2022 4.29,803E0D730,804069F00,70459.51,Yen,70459.51,Yen,
10-09-2022 4.18,803E0D730,804069F00,75615.33,Yen,75615.33,Yen,
10-09-2022 4.13,100428738,80408D310,508028.1,Yen,508028.1,Yen,
10-09-2022 4.28,100428738,80408D310,31582.85,Yen,31582.85,Yen,
10-09-2022 4.20,100428738,8040C5E90,14618.87,Yen,14618.87,Yen,
10-09-2022 4.19,100428738,8040C5E90,3372.75,Yen,3372.75,Yen,
10-09-2022 4.10,8000783A0,8040D9CB0,21898.67,Yen,21898.67,Yen,
10-09-2022 4.04,8000783A0,8040D9CB0,21071.5,Yen,21071.5,Yen,
10-09-2022 4.01,8040DF1A0,8040DFE50,115665.75,Yen,115665.75,Yen,
10-09-2022 4.19,8040BBEB0,80411F450,866240.24,Yen,866240.24,Yen,
10-09-2022 4.03,8040BBEB0,80411F450,268577.45,Yen,268577.45,Yen,
10-09-2022 4.23,8041253D0,804162610,276229.29,Yen,276229.29,Yen,
10-09-2022 4.28,8041253D0,804162610,104534.53,Yen,104534.53,Yen,
10-09-2022 4.09,8041253D0,804162610,1165.21,Yen,1165.21,Yen,
10-09-2022 4.00,8039C4650,8042FF110,25182.81,Yen,25182.81,Yen,
10-09-2022 4.23,8039C4650,8042FF110,13979.42,Yen,13979.42,Yen,
10-09-2022 4.28,100428738,8043082A0,87313663.48,Yen,87313663.48,Yen,
10-09-2022 4.04,100428738,8043082A0,364610.67,Yen,364610.67,Yen,
10-09-2022 4.04,100428738,8043082A0,22029487.1,Yen,22029487.1,Yen,
10-09-2022 4.17,80415A2F0,804358F00,74603.7,Yen,74603.7,Yen,
10-09-2022 4.29,80415A2F0,804358F00,273967.6,Yen,273967.6,Yen,
10-09-2022 4.25,803F9BC40,804374250,74594.27,Yen,74594.27,Yen,
10-09-2022 4.20,802400080,802400080,17422260.52,Yen,165296.59,US Dollar,
10-09-2022 4.20,802400080,8043E4E80,17422260.52,Yen,17422260.52,Yen,
10-09-2022 4.00,802400080,802400080,5689269.0,Yen,53977.88,US Dollar,
10-09-2022 4.00,802400080,8043E4E80,5689269.0,Yen,5689269.0,Yen,
10-09-2022 4.06,802400080,802400080,688102.24,Yen,6528.48,US Dollar,
10-09-2022 4.06,802400080,8043E4E80,688102.24,Yen,688102.24,Yen,
10-09-2022 4.12,803B09160,8044B14D0,19982.98,Yen,19982.98,Yen,
10-09-2022 4.27,803B09160,8044B14D0,31927.03,Yen,31927.03,Yen,
10-09-2022 4.24,800077C70,8044C1CD0,186826544.4,Yen,186826544.4,Yen,
10-09-2022 4.15,800077C70,8044C1CD0,2248912.2,Yen,2248912.2,Yen,
10-09-2022 4.26,800077C70,8044C1CD0,46842000.2,Yen,46842000.2,Yen,
10-09-2022 4.15,800077C70,8044C1CD0,1120933.69,Yen,1120933.69,Yen,
10-09-2022 4.13,803A48F00,8044E1110,424999.64,Yen,424999.64,Yen,
10-09-2022 4.10,803A48F00,8044E1110,64624.41,Yen,64624.41,Yen,
10-09-2022 4.05,804324860,804553FA0,14595281.49,Yen,14595281.49,Yen,
10-09-2022 4.13,804324860,804553FA0,1679324.96,Yen,1679324.96,Yen,
10-09-2022 4.25,804324860,804553FA0,9372620.48,Yen,9372620.48,Yen,
10-09-2022 4.05,803C49420,8045590C0,103713.84,Yen,103713.84,Yen,
10-09-2022 4.14,803C49420,8045590C0,54348.0,Yen,54348.0,Yen,
10-09-2022 4.23,801324AD0,801324AD0,10437124.29,Yen,99023.95,US Dollar,
10-09-2022 4.23,801324AD0,80457C520,10437124.29,Yen,10437124.29,Yen,
10-09-2022 4.24,801324AD0,801324AD0,14469146.84,Yen,137278.43,US Dollar,
10-09-2022 4.24,801324AD0,80457C520,14469146.84,Yen,14469146.84,Yen,
10-09-2022 4.00,803B034A0,804581950,269810.8,Yen,269810.8,Yen,
10-09-2022 4.10,804584340,8045842A0,6137669.83,Yen,6137669.83,Yen,
10-09-2022 4.25,8045841B0,8045842A0,210869.35,Yen,210869.35,Yen,
10-09-2022 4.07,803AAB170,804610F60,1556.68,Yen,1556.68,Yen,
10-09-2022 4.20,803AAB170,804610F60,577.34,Yen,577.34,Yen,
10-09-2022 4.06,803AAB170,804610F60,285.92,Yen,285.92,Yen,
10-09-2022 4.07,803AAB170,804610F60,542.38,Yen,542.38,Yen,
10-09-2022 4.03,803A9D5B0,8046B34E0,20153.28,Yen,20153.28,Yen,
10-09-2022 4.13,803A9D5B0,8046B34E0,5073.85,Yen,5073.85,Yen,
10-09-2022 4.17,80443DBC0,804703680,89353.53,Yen,89353.53,Yen,
10-09-2022 4.10,80443DBC0,804703680,28779.69,Yen,28779.69,Yen,
10-09-2022 4.24,804176140,80471E110,198024.22,Yen,198024.22,Yen,
10-09-2022 4.26,804176140,80471E110,209666.79,Yen,209666.79,Yen,
10-09-2022 4.15,804184BE0,804728610,40002.12,Yen,40002.12,Yen,
10-09-2022 4.26,804184BE0,804728610,199193.39,Yen,199193.39,Yen,
10-09-2022 4.01,803F91A30,804782260,6231.42,Yen,6231.42,Yen,
10-09-2022 4.24,803F91A30,804782260,21822.37,Yen,21822.37,Yen,
10-09-2022 4.25,804230860,807E407F0,896419.05,Yen,896419.05,Yen,
10-09-2022 4.12,804230860,807E407F0,215107.88,Yen,215107.88,Yen,
10-09-2022 4.15,804230860,807E407F0,71004.52,Yen,71004.52,Yen,
10-09-2022 4.24,100428738,80C3B2920,20631255.01,Yen,20631255.01,Yen,
10-09-2022 4.06,807E3E970,80C41B710,29948.55,Yen,29948.55,Yen,
10-09-2022 4.27,807E3E970,80C41B710,161293.19,Yen,161293.19,Yen,
10-09-2022 4.09,803C47500,80C41D140,2775.65,Yen,2775.65,Yen,
10-09-2022 4.06,803C47500,80C41D140,2189.81,Yen,2189.81,Yen,
10-09-2022 4.12,803C47500,80C41D140,755.81,Yen,755.81,Yen,
10-09-2022 4.26,80BE70630,80C45EB80,387678.38,Yen,387678.38,Yen,
10-09-2022 4.07,804424760,80C4705F0,6846.51,Yen,6846.51,Yen,
10-09-2022 4.17,804424760,80C4705F0,13821.21,Yen,13821.21,Yen,
10-09-2022 4.05,804706350,80C4DB3A0,436841.81,Yen,436841.81,Yen,
10-09-2022 4.06,804706350,80C4DB3A0,70108.82,Yen,70108.82,Yen,
10-09-2022 4.10,80402E9A0,80E914B40,126282.97,Yen,126282.97,Yen,
10-09-2022 4.03,80402E9A0,80E914B40,254025.53,Yen,254025.53,Yen,
10-09-2022 4.13,80402E9A0,80E914B40,45272.03,Yen,45272.03,Yen,
10-09-2022 4.28,804773080,80E9324B0,85535.51,Yen,85535.51,Yen,
10-09-2022 4.25,804773080,80E9324B0,44766.71,Yen,44766.71,Yen,
10-09-2022 4.00,100428738,80EF817B0,18475.7,Yen,18475.7,Yen,
10-09-2022 4.04,100428738,80EF817B0,25041.55,Yen,25041.55,Yen,
10-09-2022 4.23,100428738,8145C6F00,56789.29,Yen,56789.29,Yen,
10-09-2022 4.02,100428738,8145C6F00,37103.0,Yen,37103.0,Yen,
10-09-2022 4.17,80007EF40,80007EF40,108964.38,Rupee,108964.38,Rupee,
10-09-2022 4.13,80007EF40,80007EF40,217868.15,Rupee,217868.15,Rupee,
10-09-2022 4.02,100428780,8047C4650,71976.58,Rupee,71976.58,Rupee,
10-09-2022 4.17,100428780,8047C4650,202160.51,Rupee,202160.51,Rupee,
