Bank,Account,Receiving Currency,Payment Currency
10099,8044C2360,,Yen
10099,8044E5C90,Yen,
10099,8044E9820,Yen,
10099,8044F1DC0,Yen,
10099,804505D00,,Yen
10099,8045884C0,Yen,
10099,8045EFF70,Yen,
10099,804625080,,Yen
10099,80464B1B0,Yen,
10099,80467AFC0,Yen,
10099,80468B790,Yen,
10099,80469AC20,Yen,
10099,8046C2740,Yen,
10099,8046C7D20,Yen,
10099,8046CD040,Yen,
10099,8046CFBE0,Yen,Yen
10099,804714D20,Yen,
10099,80471E7F0,,Yen
10099,80476F200,Yen,
10099,804788180,Yen,
10099,809ACBFC0,Yen,
10099,809AD7D10,,Yen
10099,809B02BF0,,Yen
10099,80C3B1CD0,Yen,
10099,80C3C07C0,Yen,
10099,80C3C87C0,Yen,
10099,80C42A770,Yen,
10099,80C42E160,,Yen
10099,80C4300B0,,Yen
10099,80C49DCF0,,Yen
10099,80C49E550,,Yen
10099,80C4B1CC0,Yen,
10099,80C4B37D0,,Yen
10099,80C4B93F0,Yen,
10099,80C4D8690,,Yen
10099,80C4F2410,Yen,
10099,80E911350,,Yen
10099,80E92CCE0,Yen,
10099,8137CAF20,Yen,
10232,80117DA10,US Dollar,
10232,803BDD920,,US Dollar
10232,803BE4BD0,US Dollar,
10232,803CAD190,US Dollar,US Dollar
10232,803D6A5C0,US Dollar,
10232,803E422C0,US Dollar,US Dollar
10232,803EBD790,US Dollar,
10232,80418D3B0,,US Dollar
10232,80427F760,,US Dollar
10232,8042877F0,,US Dollar
10232,8045BB110,,US Dollar
10232,804952E30,US Dollar,US Dollar
10232,804AF10C0,US Dollar,
10232,804C2F8C0,,US Dollar
10232,804E5C060,US Dollar,
10232,804FC2960,Ruble,"US Dollar,Ruble"
10232,8050905E0,US Dollar,
10232,80515DD50,,US Dollar
10232,80515E010,Euro,"US Dollar,Euro"
10232,805164ED0,US Dollar,
10232,8052C8E70,,US Dollar
10232,8052FC5F0,US Dollar,US Dollar
10232,805790EE0,US Dollar,US Dollar
10232,8058CD4D0,US Dollar,
10232,8059248F0,US Dollar,
10232,805926810,US Dollar,
10232,8059F59A0,,US Dollar
10232,8059F9490,US Dollar,
10232,805A17000,US Dollar,
10232,805A97D50,US Dollar,
10232,805AB0A20,US Dollar,
10232,805C0ADB0,US Dollar,
10232,805DE5580,US Dollar,
10232,805E22350,Mexican Peso,"US Dollar,Mexican Peso"
10232,805EC8BB0,,US Dollar
10232,805EE1C00,,US Dollar
10232,806027A20,US Dollar,
10232,80626EF90,US Dollar,
10232,80637A5D0,,US Dollar
10232,806399800,,US Dollar
10232,806460680,US Dollar,
10232,806474350,,US Dollar
10232,80663B600,,US Dollar
10232,8066E3F80,US Dollar,
10232,8067314F0,,US Dollar
10232,806CAE2D0,US Dollar,US Dollar
10232,806CF8390,,US Dollar
10232,806E975A0,US Dollar,
10232,806FDA690,US Dollar,US Dollar
10232,806FEF670,,US Dollar
10232,807276BC0,,US Dollar
10232,80729F450,US Dollar,
10232,80730D300,,US Dollar
10232,807595A90,US Dollar,US Dollar
10232,8077DAC10,US Dollar,US Dollar
10232,807AB9970,US Dollar,
10232,807D3DAB0,US Dollar,
10232,807E63050,US Dollar,
10232,807EA7DF0,,US Dollar
10232,808364D60,US Dollar,
10232,8084EB510,US Dollar,
10232,8089A81C0,US Dollar,
10232,808B9F710,US Dollar,
10232,80913D160,US Dollar,
10232,809361E70,US Dollar,
10232,809935FF0,,US Dollar
10232,809B0E4C0,,US Dollar
10232,809B87B20,US Dollar,US Dollar
10232,809C68420,US Dollar,
10232,809D4E270,US Dollar,
10232,80A044660,,US Dollar
10232,80A339240,US Dollar,
10232,80A777BC0,US Dollar,
10232,80AE05790,US Dollar,
10232,80B0CB520,US Dollar,
10232,80B1B4420,US Dollar,
10232,80B421E50,US Dollar,
10232,80B54D920,US Dollar,US Dollar
10232,80B5CE980,US Dollar,
10232,80B6AA2F0,,US Dollar
10232,80BDE8D30,US Dollar,
10232,80BF30680,,US Dollar
10232,80C093BB0,US Dollar,
10232,80C2644C0,US Dollar,US Dollar
10232,80C330860,,US Dollar
10232,80CBD8360,US Dollar,US Dollar
10232,80D18F010,,US Dollar
10232,80D33A5A0,US Dollar,US Dollar
10232,80D464890,,US Dollar
10232,80D46EAF0,US Dollar,
10232,80D4A6AB0,,US Dollar
10232,80D4CC9B0,,US Dollar
10232,80E0D0E00,US Dollar,
10232,80EBB2650,US Dollar,
10232,80ECAFE50,,US Dollar
10232,8104312C0,,US Dollar
10232,810DB1E40,US Dollar,
10232,810DC0A60,,US Dollar
10232,810EFF0D0,,US Dollar
10232,810F537C0,US Dollar,
10232,8111DBE20,US Dollar,
10232,8113F3080,,US Dollar
10232,81180F230,US Dollar,
10232,8118ADE50,US Dollar,
10232,812170380,US Dollar,
10232,8126E93A0,US Dollar,
10232,81365E430,US Dollar,
10232,8142B83B0,US Dollar,
10232,814901A00,US Dollar,
10344,803729070,US Dollar,
10344,803FF9C10,,US Dollar
10344,804167AF0,,US Dollar
10344,8041B8EE0,,US Dollar
10344,804216850,US Dollar,
10344,804461930,US Dollar,
10344,804521FF0,,US Dollar
10344,8045BA670,US Dollar,
10344,804746370,US Dollar,
10344,804950AA0,US Dollar,
10344,80498D960,,US Dollar
10344,804B5AC50,,US Dollar
10344,804F46140,US Dollar,
10344,8051D7E50,,US Dollar
10344,8053F1E20,US Dollar,
10344,8056ECDD0,,US Dollar
10344,805724280,US Dollar,
10344,8057BC390,,US Dollar
10344,8057E03D0,US Dollar,
10344,80580A2C0,,US Dollar
10344,805885EC0,US Dollar,
10344,805931220,,US Dollar
10344,80598A330,,US Dollar
10344,8059D9DA0,,US Dollar
10344,8059E2A50,US Dollar,
10344,805B0FF70,,US Dollar
