Bank,Account,Receiving_currency,Payment_currency
1,800042CB0,US Dollar,US Dollar
1,800054E60,US Dollar,US Dollar
1,8000555D0,US Dollar,US Dollar
1,800056160,US Dollar,US Dollar
1,800056370,US Dollar,US Dollar
1,800056A50,,US Dollar
1,800056CB0,,US Dollar
1,800057020,"Euro,US Dollar","US Dollar,Euro"
1,800057620,US Dollar,
1,800057A10,,US Dollar
1,800057D40,,US Dollar
1,800058B80,"Euro,US Dollar","US Dollar,Euro"
1,800059440,US Dollar,US Dollar
1,800059C00,US Dollar,US Dollar
1,80005AB30,,US Dollar
1,80005B9B0,"US Dollar,Euro","US Dollar,Euro"
1,80005C050,US Dollar,US Dollar
1,80005C0A0,US Dollar,US Dollar
1,80005C3D0,US Dollar,US Dollar
1,80005C790,,US Dollar
1,80005DD40,US Dollar,US Dollar
1,80005E740,US Dollar,US Dollar
1,8000EBAC0,US Dollar,
1,8000EBF70,US Dollar,US Dollar
1,8000ECD60,,US Dollar
1,8000EDEC0,,US Dollar
1,8000EE0F0,US Dollar,US Dollar
1,8000EEE80,,US Dollar
1,8000EEF40,,US Dollar
1,8000F17D0,,US Dollar
1,8000F1870,US Dollar,US Dollar
1,8000F3340,,US Dollar
1,8000F4510,,US Dollar
1,8000F47F0,US Dollar,
1,8000F49E0,,US Dollar
1,8000F4D20,,US Dollar
1,8000F4FE0,,US Dollar
1,8000F5AD0,US Dollar,
1,8000F6110,US Dollar,US Dollar
1,8000F6B10,,US Dollar
1,8000F6BB0,,US Dollar
1,8000F7660,,US Dollar
1,8000F7850,US Dollar,US Dollar
1,8000F8620,,US Dollar
1,8001003A0,US Dollar,US Dollar
1,8001060F0,US Dollar,US Dollar
1,800107BD0,,US Dollar
1,800108180,,US Dollar
1,8001082E0,,US Dollar
1,800108870,,US Dollar
1,8001093C0,,US Dollar
1,800109820,,US Dollar
1,800109DA0,,US Dollar
1,80010D550,,US Dollar
1,80010DEA0,US Dollar,US Dollar
1,80010F690,,US Dollar
1,8001111F0,Euro,"US Dollar,Euro"
1,8001117A0,US Dollar,US Dollar
1,800111C30,,US Dollar
1,8001142C0,,US Dollar
1,800115570,US Dollar,US Dollar
1,800115AD0,,US Dollar
1,800115CA0,,US Dollar
1,800116420,,US Dollar
1,800118830,,US Dollar
1,80011A2A0,,US Dollar
1,80011AA30,,US Dollar
1,80011C0A0,,US Dollar
1,80011DB20,,US Dollar
1,80011E2A0,,US Dollar
1,80011F1C0,US Dollar,US Dollar
1,800126170,,US Dollar
1,8001275E0,,US Dollar
1,800128AC0,,US Dollar
1,80012FE50,,US Dollar
1,800131650,US Dollar,
1,800134D30,US Dollar,US Dollar
1,8001364A0,,US Dollar
1,800136AE0,,US Dollar
1,800139380,US Dollar,US Dollar
1,800139D10,,US Dollar
1,80013C630,US Dollar,US Dollar
1,80013F0E0,,US Dollar
1,80013F130,US Dollar,US Dollar
1,800140320,US Dollar,US Dollar
1,8001409E0,,US Dollar
1,800143B00,,US Dollar
1,800143BF0,US Dollar,US Dollar
1,8001448A0,,US Dollar
1,800147880,,US Dollar
1,8001488C0,,US Dollar
1,800148D00,US Dollar,US Dollar
1,8001495E0,"US Dollar,Euro","US Dollar,Euro"
1,800149630,,US Dollar
1,80014BA70,US Dollar,
1,80014EEE0,US Dollar,US Dollar
1,80014F510,,US Dollar
1,800150BF0,,US Dollar
1,8001514E0,"Euro,US Dollar","US Dollar,Euro"
1,800154020,,US Dollar
1,8001545F0,,US Dollar
1,8001547E0,US Dollar,US Dollar
1,800155BB0,US Dollar,US Dollar
1,800156430,US Dollar,
1,800157300,,US Dollar
1,8001580D0,US Dollar,US Dollar
1,80015D7D0,,US Dollar
1,80015E3C0,,US Dollar
1,800162F90,US Dollar,US Dollar
1,80016D830,US Dollar,
1,80016F320,,US Dollar
1,8001715F0,US Dollar,
1,800172460,,US Dollar
1,800174A80,US Dollar,US Dollar
1,800174E90,,US Dollar
1,800175080,,US Dollar
1,8001870C0,US Dollar,
1,800189670,,US Dollar
1,80018A0B0,,US Dollar
1,80018BA80,US Dollar,US Dollar
1,80018F640,,US Dollar
1,800193DF0,Euro,"US Dollar,Euro"
1,800194C00,US Dollar,US Dollar
1,800196090,,US Dollar
1,8001965B0,,US Dollar
1,800196730,US Dollar,
1,800199240,US Dollar,US Dollar
1,80019A020,US Dollar,US Dollar
1,80019A640,,US Dollar
1,80019AA00,,US Dollar
1,80019F050,,US Dollar
1,8001A2CD0,,US Dollar
1,8001A4C70,US Dollar,US Dollar
1,8001A4F40,US Dollar,US Dollar
1,8001A6A40,,US Dollar
1,8001A8060,US Dollar,US Dollar
1,8001A9900,,US Dollar
1,8001A9E70,,US Dollar
1,8001AA760,,US Dollar
1,8001AADD0,US Dollar,US Dollar
1,8001BA740,US Dollar,
1,8001BA930,,US Dollar
1,8001BDBA0,,US Dollar
1,8001C5D70,US Dollar,US Dollar
1,8001C6920,US Dollar,US Dollar
1,8001C8340,US Dollar,US Dollar
1,8001C9040,,US Dollar
1,8001C95B0,,US Dollar
1,8001CA330,US Dollar,
1,8001D0B60,,US Dollar
1,8001D2FF0,US Dollar,US Dollar
1,8001D49A0,,US Dollar
1,8001DD990,,US Dollar
1,8001DDFC0,,US Dollar
1,8001DEE60,,US Dollar
1,8001E2110,US Dollar,
1,8001E3CC0,,US Dollar
1,8001E4FB0,,US Dollar
1,8001E5B00,US Dollar,US Dollar
1,8001E6840,US Dollar,US Dollar
1,8001E9B90,,US Dollar
1,8001EA4A0,,US Dollar
1,8001EADC0,,US Dollar
1,8001F0450,US Dollar,US Dollar
1,8001F0820,Euro,"US Dollar,Euro"
1,8001F1730,US Dollar,
1,8001F2890,,US Dollar
1,8001F2F50,,US Dollar
1,8001F62D0,,US Dollar
1,8001F6960,,US Dollar
1,8001F95B0,,US Dollar
1,8001FF620,US Dollar,
1,80020AC30,US Dollar,
1,8002137F0,US Dollar,
1,800217140,US Dollar,US Dollar
1,8002183B0,,US Dollar
1,800218D10,US Dollar,US Dollar
1,8002198E0,US Dollar,US Dollar
1,80021A080,US Dollar,
1,80021DCF0,,US Dollar
1,80021E560,US Dollar,
1,8002202E0,,US Dollar
1,800221980,US Dollar,US Dollar
1,800221B50,,US Dollar
1,8002237E0,US Dollar,
1,80022F0A0,US Dollar,US Dollar
1,800239380,,US Dollar
1,80024DDD0,US Dollar,
1,80024F4A0,Euro,"US Dollar,Euro"
1,80024FF00,US Dollar,US Dollar
1,800252B20,US Dollar,
1,800252D10,,US Dollar
1,800252F30,US Dollar,US Dollar
1,800253C40,US Dollar,US Dollar
1,800253EB0,,US Dollar
1,8002552F0,,US Dollar
1,800255870,US Dollar,US Dollar
1,800256410,,US Dollar
1,800259980,,US Dollar
1,800262700,US Dollar,US Dollar
1,800263050,,US Dollar
1,8002640E0,US Dollar,US Dollar
1,800265200,US Dollar,US Dollar
1,800266C90,US Dollar,US Dollar
1,800267D90,US Dollar,US Dollar
1,800268220,,US Dollar
1,800268490,,US Dollar
1,8002696B0,,US Dollar
1,80026AC00,US Dollar,US Dollar
1,80026BBD0,,US Dollar
1,80026CDF0,,US Dollar
1,80028B010,,US Dollar
1,80028C950,US Dollar,US Dollar
1,80028D3C0,,US Dollar
1,80028D980,US Dollar,US Dollar
1,800298660,US Dollar,US Dollar
1,8002B62D0,US Dollar,US Dollar
1,8002BB600,,US Dollar
1,8002BC1B0,US Dollar,US Dollar
1,8002C1D80,,US Dollar
1,8002C3B00,US Dollar,US Dollar
1,8002C4C10,,US Dollar
1,8002C7E80,,US Dollar
1,8002C8220,US Dollar,US Dollar
1,8002CAF30,,US Dollar
1,8002CDEF0,,US Dollar
1,8002EC7F0,,US Dollar
1,8002F39A0,US Dollar,US Dollar
1,8002F9790,US Dollar,US Dollar
1,8002FDA90,US Dollar,
1,800300000,US Dollar,
1,800300E30,,US Dollar
1,8003011F0,US Dollar,US Dollar
1,8003080E0,US Dollar,US Dollar
1,8003085B0,,US Dollar
1,800308D90,,US Dollar
1,80030A730,US Dollar,US Dollar
1,800310D00,,US Dollar
1,8003114D0,,US Dollar
1,800321990,,US Dollar
1,800323380,,US Dollar
1,800324010,US Dollar,US Dollar
1,800324420,US Dollar,US Dollar
1,800325FD0,US Dollar,
1,800327650,US Dollar,US Dollar
1,80032AA00,,US Dollar
1,80032AF30,,US Dollar
1,80032AFD0,,US Dollar
1,80032B020,,US Dollar
1,80032BC80,,US Dollar
1,800336620,,US Dollar
1,80033D910,,US Dollar
1,80033E1F0,,US Dollar
1,800349500,US Dollar,US Dollar
1,80034CFB0,,US Dollar
1,800379860,,US Dollar
1,80038AAE0,US Dollar,US Dollar
1,80038CB80,US Dollar,US Dollar
1,8003934D0,,US Dollar
1,800394050,US Dollar,
1,80039C940,,US Dollar
1,80039D920,US Dollar,US Dollar
1,8003A3E20,US Dollar,US Dollar
1,8003A4750,,US Dollar
1,8003A50D0,US Dollar,US Dollar
1,8003A7F10,,US Dollar
1,8003A9560,,US Dollar
